Timestamp,Name,Email,Wallet Address,Transaction Hash,Feedback,Source Form
2026-09-18 08:19:00,CryptoPhantom_01,cryptophantom.01@proton.me,mn_addr_preprod13apau25syp76tat4qhu92hdd6ypz9mjnsxwy84ur67pxeugczwus353zzu,59db51b48bf666e383227ca9a565d19836ddffddde6d82ad4a71aa1661c35c1d,The privacy features on Midnight preprod are unlike anything I've tested. Zero-knowledge bidding is genuinely revolutionary.,Google Form: https://forms.gle/CqbVWfcZPZJvDoSx6
2026-09-18 08:19:00,ShadowCollector_99,shadowcollector.99@gmail.com,mn_addr_preprod1tulkgkmdzxnakfy4f50gpwvwg7cmv66n2ua4mm4tenqesqfqv56qgkd6l4,59db51b48bf666e383227ca9a565d19836ddffddde6d82ad4a71aa1661c35c1d,Participated in my first private auction. The fact that my bid amount stayed private on-chain blew my mind.,Google Form: https://forms.gle/CqbVWfcZPZJvDoSx6
2026-09-18 07:59:20,MidnightWhale_X,midnightwhale.x@gmail.com,mn_addr_preprod16xwpc4yl77w8kuf9ald3tzeyklallfsfy8ql8p5c77jf2v3qaryqee7d8q,552299cb5d477638759216457da0dc4135cfed881e991f6ea77db79c77484dbc,Smooth experience from wallet connect to final bid confirmation. No leakage of bid data whatsoever.,Google Form: https://forms.gle/CqbVWfcZPZJvDoSx6
2026-09-18 07:39:40,AnonBidder_42,anonbidder.42@gmail.com,mn_addr_preprod1g59g6auxsfmlqln8qa3ex07nqlsq4yl8skqtq7qgjymre2gvmp8qahf8d3,31708232474941f89338fe3dcb1964b78b9e12c01ebee13984efd7154a96848d,ZK proofs working correctly in preprod. Tested multiple bid rounds — no information revealed prematurely.,Google Form: https://forms.gle/CqbVWfcZPZJvDoSx6
2026-09-18 07:23:20,ZkHunter_77,zkhunter.77@proton.me,mn_addr_preprod1swwaz8rvfex2ar4tx3yyfamfxp0n8736hcdfd29w7tl70jhlk93sjqez97,722434b4065718b83b29a93a111c65d381fc4239e1b0b263bc045cd2127603cb,Latency on proof generation is impressive for preprod. Can't wait for mainnet.,Google Form: https://forms.gle/CqbVWfcZPZJvDoSx6
2026-09-18 07:06:20,VoidRunner_03,voidrunner.03@gmail.com,mn_addr_preprod18w4cgdyd6vjupp599ydqsrnwkjy5umwhdt2e272rr297r8g32q0sjy03mn,3c5551298c4bddcae000d350825dd6399b300671fc9cee6f9fa20b17ca014428,The sealed-bid mechanism works perfectly. Tested 3 rounds — all bids stayed confidential until reveal phase.,Google Form: https://forms.gle/CqbVWfcZPZJvDoSx6
2026-09-18 07:06:20,PrismSeeker,prismseeker@gmail.com,mn_addr_preprod1yw0a5svy0s22gtczyyc74sxjm54xy7cgqm4krv2ezwyr0q80f5hs7hks9m,3c5551298c4bddcae000d350825dd6399b300671fc9cee6f9fa20b17ca014428,Excellent UX for a private auction. The shield token mechanics are intuitive and well-designed.,Google Form: https://forms.gle/CqbVWfcZPZJvDoSx6
2026-09-18 07:06:00,DarkNight_55,darknight.55@gmail.com,mn_addr_preprod1en8764c628ds2m0wu7nghfagdtjp3tk6hnafpdz3g5tr4uavqh0sh42xjl,a0dab071a4239955fb32de17f24c9186c9990ef7b0d4ba06511836b8a5ab9d30,Tested edge cases with maximum bid values. Protocol handled them all correctly without any data leaks.,Google Form: https://forms.gle/CqbVWfcZPZJvDoSx6
2026-09-18 07:03:00,GhostBidder_88,ghostbidder.88@gmail.com,mn_addr_preprod18d733aulfgfsqanhxmj3sdv8hfxmpasrnhzu8q02xzcl2ta2lyqq0vs0z2,e562f20bf8eea1550a1800419ee9c4fdad58e13ed19e14ab0786012f7b040a46,The commitment scheme implementation is solid. Happy to sign off on this cohort for mainnet readiness.,Google Form: https://forms.gle/CqbVWfcZPZJvDoSx6
2026-09-18 06:29:00,CardanoKnight_12,cardanoknight.12@gmail.com,mn_addr_preprod1qa9vhnuuufjpprrt5u5awzu6fgxzlwj4h84mqwnwg28r4fy5crjqw4c7ej,a4415a7860641c2c5b6f691aa4c599fcd96f06b8a5c061120965efe28b593c0a,"Coming from the Cardano ecosystem, Midnight's privacy layer feels like the natural evolution. Very impressed.",Google Form: https://forms.gle/CqbVWfcZPZJvDoSx6
